,date,account_value
224,2019-11-20,1112772.536608177
225,2019-11-21,1122021.5391541466
226,2019-11-22,1121915.956248096
227,2019-11-25,1129311.3201216285
228,2019-11-26,1128785.7607629353
229,2019-11-27,1128992.1743696558
230,2019-11-29,1122490.9920967023
231,2019-12-02,1120300.817277209
232,2019-12-03,1112411.0437049582
233,2019-12-04,1122087.6211214303
234,2019-12-05,1125698.1162484316
235,2019-12-06,1135902.7401891327
236,2019-12-09,1132842.4992739314
237,2019-12-10,1131204.740037846
238,2019-12-11,1132967.3715321345
239,2019-12-12,1148383.4246302072
240,2019-12-13,1146505.820673527
241,2019-12-16,1161453.0891167854
242,2019-12-17,1156785.3783184285
243,2019-12-18,1160353.595694745
244,2019-12-19,1162798.9518195088
245,2019-12-20,1166589.4694573032
246,2019-12-23,1171351.0177848248
247,2019-12-24,1169160.9304241552
248,2019-12-26,1174395.2001877627
249,2019-12-27,1174699.9590817855
250,2019-12-30,1166345.328007708
251,2019-12-31,1169022.764754411
252,2020-01-02,1181308.5064817178
253,2020-01-03,1170162.2676707315
254,2020-01-06,1176325.605215266
255,2020-01-07,1167824.95266717
256,2020-01-08,1173212.078165281
257,2020-01-09,1178892.4404193168
258,2020-01-10,1174079.0761484099
259,2020-01-13,1173597.1676168083
260,2020-01-14,1170728.2858607513
261,2020-01-15,1180913.2795433449
262,2020-01-16,1191057.2911452064
263,2020-01-17,1190304.0379335908
264,2020-01-21,1185465.107669938
265,2020-01-22,1181378.2459089907
266,2020-01-23,1178477.2867411904
267,2020-01-24,1164407.8048274831
268,2020-01-27,1138059.147588871
269,2020-01-28,1146743.7501389098
270,2020-01-29,1145838.7354447676
271,2020-01-30,1156472.3807883095
272,2020-01-31,1123836.2760051796
273,2020-02-03,1128598.4563941977
274,2020-02-04,1145423.822420396
275,2020-02-05,1176308.892984779
276,2020-02-06,1175883.7769638638
277,2020-02-07,1169911.8412500035
278,2020-02-10,1174920.070565191
279,2020-02-11,1172699.0777707181
280,2020-02-12,1192861.7944216453
281,2020-02-13,1187562.0815368525
282,2020-02-14,1186341.5526639747
283,2020-02-18,1186893.4532521334
284,2020-02-19,1194565.3442525496
285,2020-02-20,1182134.2685594948
286,2020-02-21,1161401.6749474658
287,2020-02-24,1100511.6476046299
288,2020-02-25,1063824.541214202
289,2020-02-26,1060058.0278501261
290,2020-02-27,1000190.9568502607
291,2020-02-28,1020596.1453785464
292,2020-03-02,1081278.0389176537
293,2020-03-03,1033587.1022745478
294,2020-03-04,1083326.7901198296
295,2020-03-05,1049471.899565734
296,2020-03-06,1022060.4710055896
297,2020-03-09,945583.6923239974
298,2020-03-10,944633.0773186783
299,2020-03-11,938655.4160178383
300,2020-03-12,916807.2644295464
301,2020-03-13,943694.1970540257
302,2020-03-16,943407.1074067764
303,2020-03-17,943407.1074067764
304,2020-03-18,943407.1074067764
305,2020-03-19,943407.1074067764
306,2020-03-20,943407.1074067764
307,2020-03-23,943407.1074067764
308,2020-03-24,943407.1074067764
309,2020-03-25,943407.1074067764
310,2020-03-26,951851.0044943648
311,2020-03-27,940727.1042664525
312,2020-03-30,950649.788165038
313,2020-03-31,942216.7052673901
314,2020-04-01,917384.6661015798
315,2020-04-02,928318.1063324054
316,2020-04-03,915897.1283128832
317,2020-04-06,968451.8508973379
318,2020-04-07,967969.985196772
319,2020-04-08,1000131.2798870069
320,2020-04-09,1009736.8574695177
321,2020-04-13,1002348.2092964507
322,2020-04-14,1024740.3670100331
323,2020-04-15,1017843.1946314968
324,2020-04-16,1037918.182320849
325,2020-04-17,1036880.3062084079
326,2020-04-20,1033549.0912701382
327,2020-04-21,1026475.6590925051
328,2020-04-22,1033010.5607567045
329,2020-04-23,1034301.9970741742
330,2020-04-24,1039024.4768574758
