,date,open,high,low,close,volume,tic,macd,rsi_30,cci_30,dx_30,daily_return
149,2010-12-10,8.16,8.2,7.91,8.05,8459062,AKBNK,-0.1341252300250293,44.935899278342085,-101.20292887029359,22.41705741898228,-0.013480392156862697
150,2010-12-13,8.1,8.28,7.89,8.24,10517214,AKBNK,-0.12780827703885045,47.54803445195535,-81.55881268436657,16.99549212488472,0.023602484472049712
151,2010-12-14,8.24,8.32,8.1,8.2,11665919,AKBNK,-0.12459345000191924,47.061822661138436,-63.829787234043465,14.29013135155682,-0.004854368932038944
152,2010-12-15,8.16,8.16,7.93,7.95,13655270,AKBNK,-0.140597718531275,44.143313120494554,-100.28231250767179,22.438232021709837,-0.030487804878048697
153,2010-12-16,7.91,8.03,7.76,7.77,8173410,AKBNK,-0.1658932987109747,42.194355115558274,-126.00497702909689,29.593142633252747,-0.02264150943396237
154,2010-12-17,7.85,8.01,7.52,7.74,22612070,AKBNK,-0.18621439555010433,41.87559020871509,-137.84520564181625,38.19698058073347,-0.0038610038610037423
155,2010-12-20,7.74,7.81,7.47,7.77,12847266,AKBNK,-0.19762022948283153,42.326320830044814,-144.17970769303133,39.834356087659586,0.003875968992248069
156,2010-12-21,7.83,8.05,7.79,7.99,12524631,AKBNK,-0.186754573845473,45.53063787603366,-85.20125331405235,23.100251810286277,0.028314028314028405
157,2010-12-22,7.97,8.14,7.95,8.1,10114392,AKBNK,-0.16733845127623503,47.05223172370054,-56.1195273049098,17.46526367967848,0.013767209011263937
158,2010-12-23,8.14,8.3,8.1,8.28,9669974,AKBNK,-0.13586048832013198,49.442965003146405,-12.177272993385614,8.06459665130138,0.022222222222222143
159,2010-12-24,8.28,8.32,8.2,8.28,1291334,AKBNK,-0.10964999924645724,49.4429650031464,5.159689112402188,6.92122649261731,0.0
160,2010-12-27,8.26,8.37,8.14,8.37,5632039,AKBNK,-0.08068568392437747,50.635616890160684,21.857526686513783,9.97577997984838,0.010869565217391353
161,2010-12-28,8.37,8.51,8.32,8.43,6859320,AKBNK,-0.05228704215380375,51.42587522568433,75.98760034973267,1.654959802078702,0.007168458781362075
162,2010-12-29,8.49,8.49,8.37,8.47,7024397,AKBNK,-0.026250658322643616,51.95630001834371,93.31990600872653,1.6549598020787006,0.004744958481613493
163,2010-12-30,8.47,8.55,8.43,8.53,4426391,AKBNK,-0.0007663198462690701,52.756820531439615,115.97851628062939,1.9770536194915713,0.007083825265643329
164,2010-12-31,8.59,8.68,8.3,8.3,7259738,AKBNK,0.0008612481715459808,49.486978307104074,88.84648006785359,1.977053619491573,-0.026963657678780617
165,2011-01-03,8.36,8.41,8.26,8.39,8345711,AKBNK,0.009306061775998131,50.723289558449714,63.24366270046499,0.7250056777737868,0.010843373493975905
166,2011-01-04,8.41,8.53,8.41,8.45,11769072,AKBNK,0.02060262963666304,51.541243289969046,102.55758807587954,7.16352314744107,0.007151370679379987
167,2011-01-05,8.45,8.49,8.32,8.34,14211972,AKBNK,0.020443519832259227,49.96818331224047,70.5837946653237,0.8323585916942924,-0.013017751479289852
168,2011-01-06,8.37,8.43,8.34,8.36,6590648,AKBNK,0.021681324760987053,50.253752459825314,65.89547614129215,0.8323585916943063,0.0023980815347721673
169,2011-01-07,8.36,8.41,8.16,8.24,12918579,AKBNK,0.012831403132960162,48.53430719923572,24.342215518684814,11.162383246913205,-0.014354066985645786
170,2011-01-10,8.22,8.22,8.03,8.06,10513885,AKBNK,-0.008607471531430377,46.087404902585384,-43.17273485879979,18.634849374021286,-0.021844660194174748
171,2011-01-11,8.12,8.22,8.08,8.1,8059635,AKBNK,-0.02211534151466843,46.705085988235645,-32.47330960854171,18.634849374021282,0.004962779156327368
172,2011-01-12,8.12,8.22,8.06,8.14,7223766,AKBNK,-0.029255525274644256,47.32934673457589,-29.67042728968689,19.820466909462368,0.004938271604938427
173,2011-01-13,8.18,8.39,8.18,8.36,11251943,AKBNK,-0.016966457219098174,50.620249843619476,36.37322087506531,5.811056632624601,0.027027027027026973
174,2011-01-14,8.36,8.39,8.14,8.18,9069657,AKBNK,-0.021503875668447137,48.07773514210115,7.5237592397036686,8.501823379577033,-0.021531100478468845
175,2011-01-17,8.12,8.16,8.06,8.06,4180568,AKBNK,-0.03438641254999908,46.468104813170605,-46.08354528602902,13.768489786363194,-0.014669926650366705
176,2011-01-18,8.1,8.16,7.95,7.97,5108364,AKBNK,-0.05126717914708934,45.29162476429046,-66.63809727876735,20.494920050487586,-0.011166253101737023
177,2011-01-19,8.05,8.1,7.81,7.87,6192258,AKBNK,-0.07188580900022323,44.010857599108604,-97.73371104816009,28.12287938861107,-0.012547051442910906
